,nodea,edgetype,nodeb
0,1,1,2
1,1,1,3
2,2,1,3
3,1,1,4
4,2,1,4
5,3,1,4
6,1,1,5
7,1,1,6
8,1,1,7
9,5,1,7
10,6,1,7
11,1,1,8
12,2,1,8
13,3,1,8
14,4,1,8
15,1,1,9
16,3,1,9
17,3,1,10
18,1,1,11
19,5,1,11
20,6,1,11
21,1,1,12
22,1,1,13
23,4,1,13
24,1,1,14
25,2,1,14
26,3,1,14
27,4,1,14
28,6,1,17
29,7,1,17
30,1,1,18
31,2,1,18
32,1,1,20
33,2,1,20
34,1,1,22
35,2,1,22
36,24,1,26
37,25,1,26
38,3,1,28
39,24,1,28
40,25,1,28
41,3,1,29
42,24,1,30
43,27,1,30
44,2,1,31
45,9,1,31
46,1,1,32
47,25,1,32
48,26,1,32
49,29,1,32
50,3,1,33
51,9,1,33
52,15,1,33
53,16,1,33
54,19,1,33
55,21,1,33
56,23,1,33
57,24,1,33
58,30,1,33
59,31,1,33
60,32,1,33
61,9,1,34
62,10,1,34
63,14,1,34
64,15,1,34
65,16,1,34
66,19,1,34
67,20,1,34
68,21,1,34
69,23,1,34
70,24,1,34
71,27,1,34
72,28,1,34
73,29,1,34
74,30,1,34
75,31,1,34
76,32,1,34
77,33,1,34
